"","P21","rated","turns","victory_status","winner","pace_type","W1","B1","W_First5","B_First5","Rating_WB","opening_strategy","op_name"
"9087","KING'S GAMBIT ACCEPTED ","TRUE",63,"RESIGN","WHITE","STANDARD","e4","e5","e4_f4_Nf3_h4_Nxd4","e5_exf4_Nc6_Nd4_d6",1.37752161383285,"DEFENSE","KING'S GAMBIT ACCEPTED "
"9088","BISHOP'S OPENING","TRUE",26,"RESIGN","WHITE","BLITZ","e4","e5","e4_Bc4_Qh5_Kxf2_Nc3","e5_Bc5_Bxf2+_Qe7_Nh6",1.58908045977011,"NO_DEFENSE","BISHOP'S OPENING"
"9089","PHILIDOR DEFENSE","TRUE",53,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_d4_Bc4_d5","e5_d6_f6_Nc6_Be7",1.44571428571429,"DEFENSE","PHILIDOR DEFENSE"
"9090","VAN'T KRUIJS OPENING","TRUE",61,"RESIGN","BLACK","BLITZ","e3","e5","e3_f3_b3_Nh3_Bd3","e5_Nc6_Nf6_d5_e4",0.819018404907976,"NO_DEFENSE","VAN'T KRUIJS OPENING"
"9091","RUSSIAN GAME","TRUE",19,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_Nc3_d4_dxe5","e5_Nf6_a6_c6_Nxe4",1.18864468864469,"NO_DEFENSE","RUSSIAN GAME"
"9092","MIESES OPENING","TRUE",68,"RESIGN","BLACK","BLITZ","d3","d5","d3_Bg5_Bh4_Bg3_e4","d5_f6_g5_d4_e5",0.930213464696223,"NO_DEFENSE","MIESES OPENING"
"9093","QUEEN'S PAWN","TRUE",15,"RESIGN","WHITE","BLITZ","d4","h6","d4_e4_Nc3_Nf3_d5","h6_e6_g6_Nc6_a5",1.02099076406381,"NO_DEFENSE","QUEEN'S PAWN"
"9094","ITALIAN GAME","TRUE",29,"MATE","WHITE","BLITZ","e4","e5","e4_Nf3_Nc3_Bc4_d3","e5_Nf6_Nc6_Bc5_Bxf2+",1.48454469507101,"NO_DEFENSE","ITALIAN GAME"
"9095","KING'S PAWN GAME","TRUE",2,"RESIGN","BLACK","BLITZ","e4","e5","e4____","e5____",1.20385232744783,"NO_DEFENSE","KING'S PAWN GAME"
"9096","SCANDINAVIAN DEFENSE","TRUE",12,"RESIGN","BLACK","STANDARD","e4","d5","e4_exd5_Qf3_Be2_Qb3","d5_Qxd5_Qe6+_Nf6_Nc6",0.768900343642612,"DEFENSE","SCANDINAVIAN DEFENSE"
"9097","PORTUGUESE OPENING","TRUE",36,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bb5_Bc4_Nc3_Nf3","e5_Qe7_Nh6_c6_d6",0.865805168986084,"NO_DEFENSE","OTHER"
"9098","FRENCH DEFENSE","TRUE",19,"RESIGN","BLACK","BLITZ","e4","e6","e4_Nh3_exd5_dxe6_Qf3","e6_d5_Nf6_Bxe6_Bd6",0.904536862003781,"DEFENSE","FRENCH DEFENSE"
"9099","KING'S PAWN GAME","TRUE",57,"MATE","WHITE","BLITZ","e4","e5","e4_d3_Nf3_a3_Be3","e5_Bc5_Nf6_Ng4_Nxe3",1.51590909090909,"NO_DEFENSE","KING'S PAWN GAME"
"9100","SICILIAN DEFENSE","TRUE",3,"RESIGN","BLACK","BLITZ","e4","c5","e4_Na3___","c5____",0.727272727272727,"DEFENSE","SICILIAN DEFENSE"
"9101","INDIAN GAME","FALSE",50,"MATE","BLACK","BLITZ","d4","Nf6","d4_e3_Qf3_Bd3_Qg3","Nf6_Nc6_d5_Bg4_e6",1.07758620689655,"NO_DEFENSE","INDIAN GAME"
"9102","SCANDINAVIAN DEFENSE","FALSE",123,"MATE","WHITE","STANDARD","e4","d5","e4_Bd3_Qxg4_Qf5_Nc3","d5_Bg4_Nf6_Qd6_Qe6",0.928,"DEFENSE","SCANDINAVIAN DEFENSE"
"9103","QUEEN'S PAWN GAME","TRUE",68,"MATE","BLACK","BLITZ","d4","Nc6","d4_Nf3_Nc3_e3_Bb5","Nc6_d5_e6_Nf6_Bd7",0.898741761533853,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9104","QUEEN'S PAWN GAME","TRUE",51,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bg5_Bh4_Bg3_Nc3","d5_f6_g5_Nc6_e6",1.16237623762376,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9105","CENTER GAME","TRUE",33,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_b4_Bb2_c3","e5_Bd6_exd4_Bxb4+_dxc3",1.18217665615142,"NO_DEFENSE","CENTER GAME"
"9106","ST. GEORGE DEFENSE","TRUE",87,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_Nf3_c3_b4","e6_a6_Bb4+_Ba5_Bb6",1.09070958302853,"DEFENSE","OTHER"
"9107","SICILIAN DEFENSE","TRUE",42,"OUTOFTIME","BLACK","BLITZ","e4","c5","e4_d4_c3_Bc4_Nxc3","c5_cxd4_dxc3_d6_e6",0.865207373271889,"DEFENSE","SICILIAN DEFENSE"
"9108","KING'S PAWN GAME","TRUE",83,"MATE","WHITE","BLITZ","e4","e5","e4_d4_exd5_Nc3_a3","e5_d5_Qxd5_Bb4_Bxc3+",1.11400894187779,"NO_DEFENSE","KING'S PAWN GAME"
"9109","DANISH GAMBIT ACCEPTED","TRUE",45,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Nc6",0.948895899053628,"NO_DEFENSE","OTHER"
"9110","NIMZOWITSCH DEFENSE","TRUE",47,"RESIGN","WHITE","BLITZ","e4","Nc6","e4_d4_d5_c3_b4","Nc6_e5_Nb4_Na6_Nf6",1.33156028368794,"DEFENSE","NIMZOWITSCH DEFENSE"
"9111","OWEN DEFENSE","TRUE",34,"MATE","BLACK","BLITZ","e4","b6","e4_d4_Nc3_Bd3_Nf3","b6_Bb7_Nf6_g6_Bg7",0.98422090729783,"DEFENSE","OWEN DEFENSE"
"9112","SICILIAN DEFENSE","TRUE",108,"OUTOFTIME","BLACK","BLITZ","e4","c5","e4_d4_c3_Bc4_Nxc3","c5_cxd4_dxc3_d6_Nf6",0.936488169364882,"DEFENSE","SICILIAN DEFENSE"
"9113","DANISH GAMBIT","TRUE",70,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_c3_Bc4_Nxc3","e5_exd4_dxc3_Bc5_d6",0.839643652561247,"NO_DEFENSE","OTHER"
"9114","DANISH GAMBIT","TRUE",49,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Nxc3","e5_exd4_dxc3_Nc6_Qf6",0.992700729927007,"NO_DEFENSE","OTHER"
"9115","CENTER GAME","TRUE",68,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_Nc3_Qxd4_Qd3","e5_Nf6_exd4_Nc6_Ne5",0.983681462140992,"NO_DEFENSE","CENTER GAME"
"9116","DANISH GAMBIT ACCEPTED","TRUE",35,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_d6",0.876325088339223,"NO_DEFENSE","OTHER"
"9117","CENTER GAME","TRUE",61,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_d4_Nf3_Nxd4_Be3","e5_Qf6_exd4_Bc5_d6",1.05793991416309,"NO_DEFENSE","CENTER GAME"
"9118","FRENCH DEFENSE","TRUE",64,"RESIGN","WHITE","BLITZ","e4","e6","e4_d4_dxe5_Bf4_Bc4","e6_e5_Nc6_Bc5_Bxf2+",1.26609442060086,"DEFENSE","FRENCH DEFENSE"
"9119","CENTER GAME","TRUE",28,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_Nc3_Bd2_Bxc3","e5_Nf6_Bb4_Bxc3_exd4",1.15396700706991,"NO_DEFENSE","CENTER GAME"
"9120","DANISH GAMBIT ACCEPTED ","TRUE",57,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Nf6",0.82837528604119,"DEFENSE","OTHER"
"9121","DANISH GAMBIT ACCEPTED ","TRUE",90,"MATE","BLACK","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Bb4+",0.874323511725797,"DEFENSE","OTHER"
"9122","CENTER GAME","TRUE",17,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_Bd3_Nf3_c3","e5_Qh4_exd4_Qg4_Qxg2",0.972972972972973,"NO_DEFENSE","CENTER GAME"
"9123","SICILIAN DEFENSE","TRUE",84,"MATE","BLACK","BLITZ","e4","c5","e4_d4_c3_Bc4_Nxc3","c5_cxd4_dxc3_e6_Nc6",0.992481203007519,"DEFENSE","SICILIAN DEFENSE"
"9124","ROBATSCH (MODERN) DEFENSE","TRUE",41,"RESIGN","WHITE","BLITZ","e4","g6","e4_d4_c3_Nf3_e5","g6_Bg7_e6_Ne7_O-O",1,"DEFENSE","OTHER"
"9125","CENTER GAME","TRUE",68,"MATE","BLACK","BLITZ","e4","e5","e4_d4_Bc4_Nf3_dxe5","e5_f6_c6_d5_dxc4",0.984869325997249,"NO_DEFENSE","CENTER GAME"
"9126","DANISH GAMBIT ACCEPTED ","TRUE",53,"OUTOFTIME","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Bb4+",0.912258064516129,"DEFENSE","OTHER"
"9127","NIMZOWITSCH DEFENSE","TRUE",94,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_d5_b3_Bb2","e5_Nc6_Nce7_Ng6_Bb4+",1.02439024390244,"DEFENSE","NIMZOWITSCH DEFENSE"
"9128","CENTER GAME","TRUE",15,"MATE","WHITE","BLITZ","e4","e5","e4_d4_Nf3_Bc4_dxe5","e5_f6_Nc6_Nh6_fxe5",1.14967637540453,"NO_DEFENSE","CENTER GAME"
"9129","CARO-KANN DEFENSE","TRUE",54,"RESIGN","BLACK","BLITZ","e4","c6","e4_d4_Bd3_Bxe4_Bf3","c6_d5_dxe4_Nf6_Bf5",0.739243131156039,"DEFENSE","CARO-KANN DEFENSE"
"9130","KING'S PAWN GAME","TRUE",60,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_Nf3_b3_Ng5","e5_d5_Nc6_dxe4_Bb4+",0.897452229299363,"NO_DEFENSE","KING'S PAWN GAME"
"9131","DANISH GAMBIT","TRUE",41,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Nf3","e5_exd4_dxc3_d6_f6",1.35845410628019,"NO_DEFENSE","OTHER"
"9132","DANISH GAMBIT ACCEPTED","TRUE",41,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_d6",1.26102610261026,"NO_DEFENSE","OTHER"
"9133","SICILIAN DEFENSE","TRUE",60,"MATE","BLACK","BLITZ","e4","c5","e4_d4_c3_b4_Bd3","c5_cxd4_Qa5_Qe5_Nf6",1.08120649651972,"DEFENSE","SICILIAN DEFENSE"
"9134","DANISH GAMBIT","TRUE",23,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_c3_Bc4_Nxc3","e5_exd4_dxc3_Nc6_d6",0.858282208588957,"NO_DEFENSE","OTHER"
"9135","DANISH GAMBIT ACCEPTED ","TRUE",169,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Bb4+",0.882277671145233,"DEFENSE","OTHER"
"9136","DANISH GAMBIT","TRUE",44,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_c3_Bc4_Qd5","e5_exd4_dxc3_d6_Qd7",0.777277840269966,"NO_DEFENSE","OTHER"
"9137","DANISH GAMBIT ACCEPTED","TRUE",30,"RESIGN","BLACK","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_d6",0.854590264941466,"NO_DEFENSE","OTHER"
"9138","CENTER GAME","TRUE",43,"RESIGN","WHITE","BLITZ","e4","e5","e4_d4_Nf3_Bc4_dxe5","e5_f6_d6_Ne7_fxe5",1.12296416938111,"NO_DEFENSE","CENTER GAME"
"9139","KING'S PAWN","TRUE",40,"RESIGN","BLACK","BLITZ","e4","b5","e4_Nc3_b4_d4_Qxd4","b5_c6_e5_exd4_Nf6",0.896574014221073,"NO_DEFENSE","OTHER"
"9140","SCANDINAVIAN DEFENSE","TRUE",46,"MATE","BLACK","BLITZ","e4","d5","e4_Nc3_Nxe4_Bd3_Nf3","d5_dxe4_Bf5_e6_Nc6",0.890782828282828,"DEFENSE","SCANDINAVIAN DEFENSE"
"9141","DANISH GAMBIT ACCEPTED","TRUE",31,"MATE","WHITE","BLITZ","e4","e5","e4_d4_c3_Bc4_Bxb2","e5_exd4_dxc3_cxb2_Qh4",0.939312204989885,"NO_DEFENSE","OTHER"
"9142","DANISH GAMBIT","TRUE",118,"OUTOFTIME","BLACK","BLITZ","e4","e5","e4_d4_c3_cxd4_Nc3","e5_exd4_Nc6_Bb4+_Qf6",0.936624416277518,"NO_DEFENSE","OTHER"
"9143","HORWITZ DEFENSE","TRUE",29,"OUTOFTIME","WHITE","BLITZ","d4","e6","d4_Nf3_Bf4_e3_Nc3","e6_Nc6_d5_Bd7_f6",1.03666666666667,"DEFENSE","HORWITZ DEFENSE"
"9144","SCANDINAVIAN DEFENSE","FALSE",35,"RESIGN","WHITE","STANDARD","e4","d5","e4_exd5_c4_Nc3_Qa4+","d5_Qxd5_Qa5_g6_Qxa4",1.04058549567532,"DEFENSE","SCANDINAVIAN DEFENSE"
"9145","GUATEMALA DEFENSE","TRUE",93,"RESIGN","WHITE","BLITZ","e4","b6","e4_d4_Bxa6_Ne2_d5","b6_Ba6_Nxa6_c5_e6",1.03460451977401,"DEFENSE","OTHER"
"9146","HUNGARIAN OPENING","TRUE",92,"RESIGN","BLACK","BLITZ","g3","Nf6","g3_Bg2_d3_Bg5_Nc3","Nf6_d5_c6_Nfd7_h6",0.993036211699164,"DEFENSE","HUNGARIAN OPENING"
"9147","SCANDINAVIAN DEFENSE","TRUE",88,"RESIGN","BLACK","BLITZ","e4","d5","e4_exd5_Nc3_Bc4_Nf3","d5_Qxd5_Qd8_e6_Bd6",1.25111773472429,"DEFENSE","SCANDINAVIAN DEFENSE"
"9148","SCANDINAVIAN DEFENSE","TRUE",36,"MATE","BLACK","BLITZ","e4","d5","e4_e5_d4_Nf3_c3","d5_Be6_Nd7_f6_Nh6",0.974666666666667,"DEFENSE","SCANDINAVIAN DEFENSE"
"9149","PIRC DEFENSE","TRUE",99,"OUTOFTIME","WHITE","STANDARD","e4","d6","e4_d4_Nf3_Be2_dxc5","d6_g6_Bg7_c5_Qa5+",1.125,"DEFENSE","PIRC DEFENSE"
"9150","KING'S GAMBIT ACCEPTED ","TRUE",138,"OUTOFTIME","BLACK","STANDARD","e4","e5","e4_f4_Bc4_c3_Bd3","e5_Nc6_exf4_Na5_Qh4+",0.837520938023451,"DEFENSE","KING'S GAMBIT ACCEPTED "
"9151","QUEEN'S PAWN GAME","TRUE",70,"RESIGN","BLACK","BLITZ","d4","d5","d4_Bf4_dxc5_Nd2_e3","d5_c5_Qa5+_e6_Nc6",1.01492537313433,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9152","QUEEN'S PAWN GAME","TRUE",56,"RESIGN","BLACK","BLITZ","d4","d5","d4_Bf4_e3_Be2_h3","d5_Nf6_Bg4_Bf5_e6",1.03571428571429,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9153","QUEEN'S PAWN GAME","TRUE",64,"RESIGN","BLACK","BLITZ","d4","d5","d4_Bf4_e3_Nf3_Bb5+","d5_e6_b6_Bb7_c6",0.999419616947185,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9154","SICILIAN DEFENSE","TRUE",131,"RESIGN","BLACK","BLITZ","e4","c5","e4_Nf3_d4_Nc3_Bg5","c5_e6_Nf6_d6_Be7",1.0140350877193,"DEFENSE","SICILIAN DEFENSE"
"9155","INDIAN GAME","TRUE",81,"MATE","WHITE","BLITZ","d4","Nf6","d4_h3_Bf4_e3_dxc5","Nf6_d5_e6_c5_Bxc5",1.09864603481625,"NO_DEFENSE","INDIAN GAME"
"9156","INDIAN GAME","TRUE",54,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_h3_Bf4_dxc5_a3","Nf6_e6_c5_Bxc5_O-O",0.968891402714932,"NO_DEFENSE","INDIAN GAME"
"9157","QUEEN'S PAWN GAME","TRUE",94,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bf4_dxc5_e3_Nf3","d5_c5_e6_Nc6_Bxc5",0.967576791808874,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9158","INDIAN GAME","TRUE",46,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_h3_Bf4_e3_Nf3","Nf6_g6_Bg7_O-O_d6",1.02697841726619,"NO_DEFENSE","INDIAN GAME"
"9159","MODERN DEFENSE","TRUE",56,"RESIGN","WHITE","BLITZ","d4","g6","d4_Bf4_e3_h3_Nf3","g6_Bg7_Nf6_d5_e6",1.059375,"DEFENSE","MODERN DEFENSE"
"9160","HORWITZ DEFENSE","TRUE",54,"MATE","BLACK","BLITZ","d4","e6","d4_Bf4_e3_h3_Bh2","e6_b6_Nf6_Nd5_Nc6",1.06149068322981,"DEFENSE","HORWITZ DEFENSE"
"9161","INDIAN GAME","TRUE",45,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_h3_Bf4_e3_Nf3","Nf6_g6_Bg7_Nc6_O-O",1.04938271604938,"NO_DEFENSE","INDIAN GAME"
"9162","INDIAN GAME","TRUE",62,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_c4_Bg5_Nc3_Bxf6","Nf6_e6_Be7_h6_Bxf6",0.963335304553519,"NO_DEFENSE","INDIAN GAME"
"9163","SICILIAN DEFENSE","TRUE",67,"MATE","WHITE","BLITZ","e4","c5","e4_Nf3_d4_d5_exd5","c5_e6_Nc6_exd5_Nb4",1.03848396501458,"DEFENSE","SICILIAN DEFENSE"
"9164","INDIAN GAME","TRUE",27,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_h3_Bf4_e3_Nf3","Nf6_d5_Bf5_Nbd7_e6",0.973461321287408,"NO_DEFENSE","INDIAN GAME"
"9165","HORWITZ DEFENSE","TRUE",87,"MATE","WHITE","BLITZ","d4","e6","d4_Bf4_e3_Bg3_h3","e6_Ne7_Ng6_h5_h4",1.16137744767049,"DEFENSE","HORWITZ DEFENSE"
"9166","QUEEN'S PAWN GAME","TRUE",88,"RESIGN","BLACK","BLITZ","d4","d5","d4_Bf4_dxc5_e3_Nf3","d5_c5_e6_Bxc5_Nf6",1.06119951040392,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9167","HORWITZ DEFENSE","TRUE",39,"RESIGN","WHITE","BLITZ","d4","e6","d4_Bf4_e3_Bxd6_a3","e6_d5_Bd6_Qxd6_a5",0.926185344827586,"DEFENSE","HORWITZ DEFENSE"
"9168","QUEEN'S PAWN GAME","TRUE",77,"RESIGN","WHITE","BLITZ","d4","d5","d4_Nf3_e3_Nc3_Ne5","d5_h6_Bf5_e6_Nd7",0.838895281933257,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9169","DUTCH DEFENSE","TRUE",78,"RESIGN","WHITE","BLITZ","d4","f5","d4_Bf4_e3_Be5_Nf3","f5_d5_Be6_Nd7_Ngf6",1.02309058614565,"DEFENSE","DUTCH DEFENSE"
"9170","QUEEN'S PAWN GAME","TRUE",32,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bf4_e3_h3_Qxh5","d5_Nc6_Nf6_Nh5_g6",1.01059446733373,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9171","SICILIAN DEFENSE","TRUE",40,"RESIGN","BLACK","BLITZ","e4","c5","e4_Nf3_c3_d4_cxd4","c5_e6_Nc6_cxd4_Nf6",1.00293255131965,"DEFENSE","SICILIAN DEFENSE"
"9172","SICILIAN DEFENSE","TRUE",89,"RESIGN","WHITE","BLITZ","e4","c5","e4_Nf3_Nc3_Bb5_Ba4","c5_e6_Nc6_a6_b5",0.838260869565217,"DEFENSE","SICILIAN DEFENSE"
"9173","QUEEN'S PAWN","TRUE",78,"RESIGN","WHITE","BLITZ","d4","c6","d4_Bf4_e3_h3_Nf3","c6_d5_Nf6_e6_c5",1.18689655172414,"NO_DEFENSE","QUEEN'S PAWN"
"9174","INDIAN GAME","TRUE",83,"RESIGN","WHITE","BLITZ","d4","Nf6","d4_h3_Bf4_e3_dxc5","Nf6_e6_d5_c5_Bxc5",1.00825958702065,"NO_DEFENSE","INDIAN GAME"
"9175","QUEEN'S PAWN GAME","TRUE",60,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bf4_e3_h3_Bxd6","d5_e6_Nf6_Bd6_Qxd6",0.987776484284051,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9176","ENGLUND GAMBIT","TRUE",80,"RESIGN","WHITE","BLITZ","d4","e5","d4_dxe5_Bf4_e3_Bg3","e5_Nc6_f6_fxe5_Qf6",1.07034220532319,"NO_DEFENSE","OTHER"
"9177","QUEEN'S PAWN GAME","TRUE",127,"DRAW","DRAW","BLITZ","d4","d5","d4_Bf4_e3_Nf3_Bxd6","d5_c6_e6_Bd6_Qxd6",1.039975399754,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9178","QUEEN'S PAWN","TRUE",43,"RESIGN","WHITE","BLITZ","d4","c6","d4_Bf4_e3_h3_Nf3","c6_d5_Nf6_e6_Be7",0.96999422965955,"NO_DEFENSE","QUEEN'S PAWN"
"9179","INDIAN GAME","TRUE",46,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_h3_Bf4_e3_Nf3","Nf6_d6_g6_Bg7_O-O",0.865878725590956,"NO_DEFENSE","INDIAN GAME"
"9180","HORWITZ DEFENSE","TRUE",89,"MATE","WHITE","BLITZ","d4","e6","d4_Bf4_Be5_Bg3_dxc5","e6_g5_f6_c5_Bxc5",1.24592592592593,"DEFENSE","HORWITZ DEFENSE"
"9181","MODERN DEFENSE","TRUE",90,"RESIGN","BLACK","BLITZ","d4","g6","d4_Bf4_e3_Nf3_h3","g6_Bg7_d6_Nf6_O-O",1.09767141009056,"DEFENSE","MODERN DEFENSE"
"9182","MODERN DEFENSE","TRUE",64,"RESIGN","BLACK","BLITZ","d4","g6","d4_Bf4_e3_Nf3_Nbd2","g6_Bg7_c6_Qa5+_c5",1.10367031551835,"DEFENSE","MODERN DEFENSE"
"9183","DUTCH DEFENSE","TRUE",81,"RESIGN","WHITE","BLITZ","d4","f5","d4_Bf4_e3_h3_Nf3","f5_Nf6_d6_g6_Bg7",0.939192924267551,"DEFENSE","DUTCH DEFENSE"
"9184","HORWITZ DEFENSE","TRUE",55,"RESIGN","WHITE","BLITZ","d4","e6","d4_Bf4_e3_h3_Nf3","e6_d6_Nf6_Be7_h6",1.11308349769888,"DEFENSE","HORWITZ DEFENSE"
"9185","QUEEN'S PAWN GAME","TRUE",99,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bf4_e3_h3_a3","d5_Nf6_Nc6_Bf5_e6",0.980735551663748,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9186","MODERN DEFENSE","TRUE",79,"MATE","WHITE","BLITZ","d4","g6","d4_Bf4_e3_Nf3_a3","g6_Bg7_e6_Ne7_O-O",1.12273641851107,"DEFENSE","MODERN DEFENSE"
"9187","QUEEN'S PAWN GAME","TRUE",161,"DRAW","DRAW","BLITZ","d4","d5","d4_e3_Nf3_a3_Nbd2","d5_Bf5_e6_h6_Nf6",1.10605152786099,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9188","INDIAN GAME","TRUE",48,"RESIGN","BLACK","BLITZ","d4","Nf6","d4_h3_Bf4_e3_Be5","Nf6_d5_h6_g5_Bg7",0.901506996770721,"NO_DEFENSE","INDIAN GAME"
"9189","ITALIAN GAME","TRUE",12,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Bc4_d4_Nxd4","e5_Nc6_h6_exd4_Ne5",0.930413917216557,"DEFENSE","ITALIAN GAME"
"9190","ENGLUND GAMBIT","TRUE",60,"RESIGN","WHITE","BLITZ","d4","e5","d4_dxe5_Nf3_Nbd2_c3","e5_Qe7_Qb4+_a5_Qb5",1.18039772727273,"NO_DEFENSE","OTHER"
"9191","QUEEN'S PAWN GAME","TRUE",40,"RESIGN","WHITE","BLITZ","d4","d5","d4_Bf4_e3_Nf3_c4","d5_e6_Nc6_f6_g5",1.01350521792511,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9192","QUEEN'S PAWN GAME","TRUE",107,"DRAW","DRAW","BLITZ","d4","d5","d4_Bf4_e3_Nf3_b3","d5_c6_Nd7_Qb6_h5",1.27923076923077,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9193","QUEEN'S PAWN GAME","TRUE",101,"MATE","WHITE","BLITZ","d4","d5","d4_Bf4_e3_h3_Nf3","d5_Nf6_g6_Bg7_O-O",1.09025032938076,"NO_DEFENSE","QUEEN'S PAWN GAME"
"9194","CARO-KANN DEFENSE","TRUE",51,"MATE","WHITE","BLITZ","e4","c6","e4_Bc4_exd5_Bb3_d3","c6_d5_cxd5_a5_a4",0.872394188250158,"DEFENSE","CARO-KANN DEFENSE"
"9195","FOUR KNIGHTS GAME","TRUE",144,"RESIGN","BLACK","BLITZ","e4","e5","e4_Nf3_Bc4_Nc3_a3","e5_Nc6_Nf6_Bc5_d6",1.01923076923077,"NO_DEFENSE","FOUR KNIGHTS GAME"
"9196","BISHOP'S OPENING","TRUE",22,"RESIGN","BLACK","BLITZ","e4","e5","e4_Bc4_Qf3_c3_d3","e5_Nf6_Nc6_Bc5_d6",0.913965822038892,"DEFENSE","BISHOP'S OPENING"
"9197","KING'S PAWN GAME","TRUE",49,"RESIGN","WHITE","BLITZ","e4","d6","e4_d4_dxe5_Bxh6_exd6","d6_e5_Nh6_gxh6_cxd6",1.21223021582734,"DEFENSE","KING'S PAWN GAME"
"9198","SEMI-SLAV DEFENSE","TRUE",116,"MATE","BLACK","BLITZ","d4","d5","d4_c4_Nc3_Nf3_a3","d5_c6_e6_Bb4_Bd6",0.967141292442497,"DEFENSE","SEMI-SLAV DEFENSE"
"9199","OWEN DEFENSE","TRUE",30,"RESIGN","BLACK","BLITZ","e4","b6","e4_Qh5_Qf3_d3_Bg5","b6_Nf6_Bb7_Nc6_Nd4",0.812428734321551,"DEFENSE","OWEN DEFENSE"
"9200","OWEN DEFENSE","TRUE",57,"RESIGN","BLACK","BLITZ","e4","b6","e4_d4_d5_Bd3_c4","b6_Bb7_Nf6_e6_Bb4+",1.19933333333333,"DEFENSE","OWEN DEFENSE"
"9201","PHILIDOR DEFENSE","TRUE",65,"RESIGN","WHITE","BLITZ","e4","e5","e4_Nf3_h3_Nc3_Be2","e5_d6_Be6_c5_Nf6",1.02863822326125,"DEFENSE","PHILIDOR DEFENSE"
"9202","FRENCH DEFENSE","TRUE",20,"RESIGN","BLACK","BLITZ","e4","e6","e4_d4_e5_c3_Be3","e6_d5_c5_Nc6_Qb6",1.00996483001172,"DEFENSE","FRENCH DEFENSE"
"9203","POLISH DEFENSE","TRUE",67,"RESIGN","WHITE","BLITZ","d4","b5","d4_e4_c4_a3_Nc3","b5_c6_a6_e6_Ne7",1.16666666666667,"DEFENSE","OTHER"
"9204","SCANDINAVIAN DEFENSE","TRUE",31,"RESIGN","WHITE","BLITZ","e4","d5","e4_exd5_Nf3_Nc3_Be2","d5_Qxd5_Qd8_Nc6_Nf6",0.922,"DEFENSE","SCANDINAVIAN DEFENSE"
